drugbank_id	pubchem_dotf_id
DB00014	12012688
DB00050	12014333
DB00091	12013381
DB00104	12013843
DB00114	24714768
DB00118	56310594
DB00126	22395201
DB00131	22395762
DB00134	125299323
DB00136	12012574
DB00140	24714797
DB00150	24714971
DB00158	56310593
DB00163	87550942
DB00166	56310579
DB00169	22395904
DB00175	12013526
DB00176	12013347
DB00177	123055291
DB00178	12012944
DB00179	12014519
DB00180	12015269
DB00181	123055284
DB00185	12014087
DB00187	12012628
DB00188	12015194
DB00192	12012957
DB00194	81044335
DB00195	12012676
DB00196	12013592
DB00197	12013560
DB00198	12015075
DB00199	12012581
DB00203	12014701
DB00204	12014163
DB00205	22395175
DB00207	12013987
DB00208	12013291
DB00214	12012656
DB00215	12012767
DB00215	12014433
DB00216	12014973
DB00218	12015073
DB00220	12014897
DB00222	12013623
DB00223	12015553
DB00224	12014807
DB00226	12015481
DB00227	12012664
DB00229	12013348
DB00230	12014780
DB00234	12013274
DB00235	12013065
DB00238	12014582
DB00239	12013365
DB00242	99431527
DB00243	12013498
DB00244	12015286
DB00246	12014809
DB00247	24714726
DB00248	12013713
DB00249	12014017
DB00250	24714727
DB00251	12013729
DB00252	24714731
DB00254	99431521
DB00255	56310572
DB00260	12014545
DB00261	12012620
DB00267	12013364
DB00268	12013472
DB00270	12013580
DB00273	12013555
DB00276	12013305
DB00278	12013105
DB00279	24714734
DB00282	12013158
DB00284	12012879
DB00285	12013480
DB00287	12015307
DB00289	12012642
DB00291	99431548
DB00292	12013395
DB00293	12014189
DB00294	12012881
DB00296	12014369
DB00297	12014951
DB00298	12013140
DB00299	12013576
DB00300	12014981
DB00303	12015052
DB00304	12015338
DB00307	87550948
DB00308	12014583
DB00309	12013277
DB00311	57304388
DB00313	12015354
DB00315	12014671
DB00316	24714721
DB00317	12015033
DB00323	12014507
DB00330	92309392
DB00334	12014657
DB00335	12014149
DB00337	12014634
DB00338	12013167
DB00339	92309395
DB00341	12014122
DB00342	12013836
DB00343	50086897
DB00346	12012888
DB00355	12013309
DB00357	12012594
DB00358	12013726
DB00360	12014491
DB00361	12013497
DB00362	12014781
DB00363	12013419
DB00365	12014640
DB00368	26683762
DB00369	12014233
DB00370	12013213
DB00374	12014431
DB00377	12014971
DB00379	12013440
DB00380	12014716
DB00381	12013616
DB00382	12014010
DB00385	12012719
DB00390	125299298
DB00391	12013945
DB00393	12013716
DB00396	12015027
DB00398	12015507
DB00399	12014262
DB00401	12012773
DB00402	12013157
DB00402	12015386
DB00403	12014459
DB00404	12013413
DB00408	12013420
DB00409	12012970
DB00410	12013725
DB00412	12014878
DB00412	50086904
DB00413	12014026
DB00415	12014150
DB00419	12014416
DB00419	87550985
DB00421	22395181
DB00422	24714766
DB00425	12014235
DB00426	12013946
DB00429	85197684
DB00430	12013722
DB00432	12014784
DB00437	22395219
DB00438	12015326
DB00439	12014736
DB00441	12013504
DB00442	12014687
DB00443	12012603
DB00447	12014135
DB00448	12013895
DB00451	123055316
DB00451	123055440
DB00455	12013131
DB00459	12013101
DB00461	12012677
DB00465	12013083
DB00465	12014439
DB00467	12012631
DB00470	12013925
DB00471	12014850
DB00472	12014047
DB00476	12014243
DB00477	12014508
DB00478	12012867
DB00480	12015317
DB00481	12012824
DB00482	12015009
DB00484	12013261
DB00486	12013429
DB00487	12012671
DB00488	12013384
DB00490	12013746
DB00490	24714738
DB00491	12013518
DB00493	12012575
DB00494	12014660
DB00495	12013681
DB00496	12014565
DB00499	12013361
DB00501	12013445
DB00502	12013409
DB00503	12014859
DB00507	99431538
DB00509	123055316
DB00509	123055440
DB00512	12013968
DB00518	12014008
DB00519	12013675
DB00519	22395488
DB00521	12013437
DB00523	12013352
DB00523	12014646
DB00523	12014910
DB00528	12013279
DB00529	12012803
DB00530	12015117
DB00531	99431522
DB00533	12014954
DB00535	12013492
DB00539	12013627
DB00540	24714728
DB00541	12014418
DB00542	12013042
DB00543	12013426
DB00546	12013114
DB00548	12013195
DB00549	12014035
DB00551	22395295
DB00552	12013121
DB00554	12013846
DB00555	12013463
DB00558	12014758
DB00559	12014838
DB00560	12014912
DB00563	22395177
DB00564	57304372
DB00565	12013269
DB00565	12014680
DB00569	12014866
DB00570	12012588
DB00571	57304368
DB00574	12013267
DB00577	12014356
DB00579	99431540
DB00580	12015079
DB00582	12014673
DB00584	12014060
DB00585	12012865
DB00588	12014563
DB00590	12013164
DB00593	57304373
DB00596	12014568
DB00597	12014621
DB00598	12013100
DB00598	12013434
DB00601	12014976
DB00604	12012817
DB00609	92309393
DB00611	12013400
DB00612	12012929
DB00615	12012943
DB00619	12015012
DB00622	12013373
DB00623	12013416
DB00624	12012605
DB00625	12014858
DB00627	87550957
DB00629	12013379
DB00630	22395185
DB00631	12014412
DB00632	12014691
DB00633	12013628
DB00633	12014284
DB00635	125299297
DB00636	22395216
DB00637	12013338
DB00639	12013025
DB00640	81044335
DB00641	12013879
DB00642	12014612
DB00649	12014136
DB00654	12014690
DB00655	49684201
DB00657	24714742
DB00665	12013485
DB00666	12012978
DB00669	12014283
DB00671	12012851
DB00673	12015114
DB00674	12014857
DB00675	56310590
DB00679	12013415
DB00680	12013441
DB00681	12012606
DB00682	22395179
DB00683	12013363
DB00685	12014748
DB00688	12014254
DB00691	12012681
DB00692	12013424
DB00694	125299287
DB00695	12014152
DB00697	12013366
DB00700	12015198
DB00701	12014852
DB00704	12013717
DB00705	12014789
DB00706	12012682
DB00706	12013389
DB00708	12013739
DB00709	12014700
DB00710	12014723
DB00712	12014074
DB00712	12015300
DB00715	12013591
DB00716	12012831
DB00718	12014790
DB00720	12013062
DB00722	12013163
DB00724	12013659
DB00727	22395178
DB00728	12014449
DB00731	12013966
DB00732	12013269
DB00732	12014680
DB00734	12013967
DB00735	12013754
DB00736	12013167
DB00740	12013649
DB00741	12013447
DB00742	125299321
DB00743	12014647
DB00744	12014274
DB00745	12014011
DB00745	12014108
DB00746	12014086
DB00749	12012673
DB00751	12014188
DB00755	12013352
DB00755	12014646
DB00755	12014910
DB00757	12014390
DB00758	12014240
DB00760	12014124
DB00762	12013536
DB00768	12014217
DB00770	12013405
DB00773	12013288
DB00775	12014699
DB00776	12013820
DB00778	12012902
DB00783	12012600
DB00783	56310604
DB00787	12013356
DB00789	12014019
DB00790	12013509
DB00795	12012604
DB00798	85197654
DB00799	12014289
DB00800	12013011
DB00801	12013412
DB00802	12013336
DB00805	12013368
DB00806	81044341
DB00811	99431523
DB00814	12013466
DB00817	12015534
DB00818	12012653
DB00819	57304369
DB00820	12015128
DB00821	12013355
DB00824	12012874
DB00827	12015380
DB00828	12013664
DB00831	12013408
DB00833	12013565
DB00834	12013919
DB00841	12013704
DB00843	12014379
DB00844	12013401
DB00845	24714740
DB00848	12015289
DB00850	12013414
DB00853	12013608
DB00855	12014757
DB00857	12012797
DB00860	12012573
DB00861	12013398
DB00862	12015314
DB00863	12013446
DB00863	12014474
DB00864	12013904
DB00869	12014411
DB00870	12012657
DB00872	12015043
DB00876	12014572
DB00877	12014635
DB00879	12014747
DB00880	24714733
DB00881	12013148
DB00882	22395921
DB00884	12014792
DB00886	12014939
DB00889	12014022
DB00894	136349969
DB00896	12014133
DB00897	12013397
DB00899	12014706
DB00900	12014245
DB00901	12013927
DB00904	12014033
DB00905	12015127
DB00906	12014177
DB00909	12012838
DB00910	12015105
DB00912	12014667
DB00916	26683761
DB00917	99431525
DB00918	12014867
DB00920	12015272
DB00921	12013399
DB00922	12014745
DB00923	24714908
DB00924	12015332
DB00926	12013448
DB00927	12013748
DB00928	12013374
DB00928	12014007
DB00929	12013227
DB00929	24714855
DB00939	12013402
DB00945	24714725
DB00947	12014659
DB00949	12013710
DB00950	12015028
DB00951	92309394
DB00952	12014338
DB00953	12014923
DB00954	12013625
DB00957	12013307
DB00958	12013926
DB00960	24714739
DB00962	12014056
DB00963	12014268
DB00964	12014172
DB00966	12014783
DB00967	12013632
DB00969	12014714
DB00972	12012629
DB00973	12014979
DB00975	81044336
DB00976	12015022
DB00978	12013757
DB00980	12015157
DB00982	12013352
DB00982	12014646
DB00982	12014910
DB00983	12013923
DB00983	24714754
DB00986	49684186
DB00987	49684259
DB00989	12014277
DB00990	12014009
DB00991	12013314
DB00995	12015271
DB00996	12012796
DB00998	12014901
DB01002	12014951
DB01004	12013652
DB01005	12014598
DB01006	12014531
DB01007	12013844
DB01009	12015049
DB01012	12015510
DB01014	12012759
DB01017	87550941
DB01018	12013435
DB01023	12012613
DB01024	12015334
DB01025	12012752
DB01026	12013789
DB01029	12014641
DB01030	12014351
DB01036	12014413
DB01037	12014185
DB01039	22395205
DB01041	12013404
DB01043	12013344
DB01044	12014137
DB01045	24714737
DB01046	12015646
DB01048	12014613
DB01050	12014434
DB01050	125299288
DB01051	12012593
DB01054	12013715
DB01056	12013443
DB01058	12015327
DB01059	12013332
DB01060	85197616
DB01065	56310582
DB01069	24714732
DB01072	12015165
DB01073	12012906
DB01074	26683799
DB01080	12012774
DB01083	12013644
DB01084	12012954
DB01091	12014064
DB01095	12014002
DB01096	22395920
DB01097	12013774
DB01098	12015082
DB01100	12013418
DB01101	12014895
DB01104	12014562
DB01105	12013936
DB01106	12013587
DB01112	12015285
DB01115	12014071
DB01118	99431524
DB01119	24714736
DB01123	125299290
DB01126	12014955
DB01128	12014029
DB01130	12013808
DB01131	22395194
DB01132	12014532
DB01132	22395182
DB01133	12012975
DB01135	12014120
DB01136	12013067
DB01137	12013736
DB01137	12014081
DB01141	12015211
DB01143	12013090
DB01149	12013126
DB01150	12013577
DB01151	12013425
DB01153	12014567
DB01155	12014993
DB01156	12013831
DB01157	12012739
DB01157	12014863
DB01162	12013730
DB01165	12013736
DB01165	12014081
DB01166	12012700
DB01167	12012955
DB01171	12013032
DB01175	12012767
DB01175	12014433
DB01179	12012576
DB01182	12013442
DB01184	12013334
DB01186	12012689
DB01188	12012595
DB01189	12014271
DB01191	12013267
DB01194	12015162
DB01195	12013342
DB01197	12013747
DB01198	12013157
DB01198	12015386
DB01201	12012718
DB01202	12013706
DB01202	12015496
DB01203	12013396
DB01204	12013376
DB01205	12013048
DB01207	12014065
DB01208	12014309
DB01209	12012733
DB01210	12013724
DB01210	12015505
DB01211	12013874
DB01212	12013367
DB01216	12014292
DB01217	12014321
DB01218	12013102
DB01219	50086896
DB01220	12012727
DB01222	12013315
DB01224	12014721
DB01226	12014183
DB01227	12015578
DB01228	12012630
DB01229	12013494
DB01232	12014566
DB01234	12012603
DB01236	12012762
DB01238	12014488
DB01240	12013444
DB01241	12013353
DB01242	24714730
DB01244	12013371
DB01248	12014196
DB01250	12013469
DB01252	12014743
DB01254	12015788
DB01255	26683812
DB01256	12015312
DB01259	12015501
DB01261	12015731
DB01262	12013916
DB01263	12014995
DB01264	12015589
DB01265	12015420
DB01267	22395187
DB01268	12015580
DB01273	12015720
DB01274	12013923
DB01274	24714754
DB01275	12013432
DB01280	12015013
DB01283	12015303
DB01291	12013431
DB01295	12012835
DB01301	125299357
DB01319	12015337
DB01319	12015397
DB01320	12013954
DB01326	81044354
DB01328	12013357
DB01329	12013964
DB01330	12013327
DB01331	12012592
DB01332	12012586
DB01338	12013270
DB01339	12013268
DB01340	12013515
DB01347	12014753
DB01348	12013873
DB01349	12014735
DB01359	12013436
DB01366	12013184
DB01367	12014622
DB01388	12014376
DB01393	12015374
DB01394	12012587
DB01395	12014580
DB01396	12015761
DB01399	26683807
DB01406	123055285
DB01407	12013986
DB01408	12012883
DB01409	12014767
DB01410	12014485
DB01413	12012932
DB01415	12013999
DB01425	12013428
DB01427	12013242
DB01430	12015461
DB01433	12015578
DB01436	123055313
DB01441	22395767
DB01445	12015261
DB01476	12015531
DB01489	12013410
DB01515	99431526
DB01522	12015578
DB01524	57304390
DB01535	22395327
DB01545	12013358
DB01555	12015578
DB01559	12015458
DB01560	12013263
DB01567	22395274
DB01570	22395615
DB01571	22395862
DB01583	123055316
DB01583	123055440
DB01583	24714734
DB01586	12012589
DB01586	99431529
DB01587	12013411
DB01589	12012678
DB01590	12014881
DB01591	12015109
DB01594	12013302
DB01597	12013751
DB01598	12013750
DB01599	12014197
DB01601	56310583
DB01603	12012577
DB01604	12012830
DB01606	12013505
DB01609	12015358
DB01610	12015034
DB01618	87550960
DB01623	12013417
DB01628	12015199
DB01638	125299321
DB01645	49684188
DB01656	12014977
DB01683	22395460
DB01698	12015663
DB01708	12014907
DB01727	12013273
DB01791	12014798
DB01852	56310599
DB01873	12015122
DB01873	12015722
DB01880	22395875
DB01894	136349998
DB01910	12012655
DB01928	12013888
DB01933	12014075
DB01954	12013590
DB02000	12014956
DB02010	22395183
DB02020	22395382
DB02021	12014775
DB02032	12013747
DB02035	26683774
DB02056	12012669
DB02097	49684259
DB02101	12014775
DB02132	12014058
DB02152	136349961
DB02169	12013120
DB02202	22395586
DB02228	12014430
DB02255	12014779
DB02292	57304391
DB02300	12014175
DB02329	12013920
DB02335	22395639
DB02342	12015344
DB02344	136349998
DB02375	12015490
DB02378	12015889
DB02383	12014205
DB02507	22395179
DB02533	12014685
DB02545	123055391
DB02546	12015019
DB02568	12014771
DB02587	12013584
DB02600	12015074
DB02601	24714785
DB02656	12014870
DB02659	123055413
DB02692	12014491
DB02701	12013393
DB02709	12015089
DB02712	12012698
DB02733	12015293
DB02758	12015352
DB02823	24714910
DB02833	12015757
DB02846	12015539
DB02872	49684242
DB02893	125299323
DB02901	57304367
DB02925	12013328
DB02932	12014029
DB02948	12013045
DB02959	49684260
DB03010	12014962
DB03034	12013736
DB03034	12014081
DB03044	136349968
DB03052	12013092
DB03068	12015718
DB03109	24714973
DB03176	123055345
DB03203	87550961
DB03206	85197624
DB03208	12013815
DB03253	12013870
DB03253	12014030
DB03285	12014182
DB03312	12013052
DB03322	57304368
DB03395	12014324
DB03424	12013068
DB03451	12014546
DB03459	12012651
DB03467	12015491
DB03496	12014552
DB03516	12014705
DB03523	12013618
DB03528	81044335
DB03541	12013135
DB03567	24714973
DB03606	12013590
DB03625	12014547
DB03655	12015288
DB03695	12012913
DB03719	12012601
DB03721	136349998
DB03740	24714973
DB03777	22395189
DB03823	50086908
DB03823	50086925
DB03832	24714892
DB03849	12014847
DB03856	12012626
DB03860	12013602
DB03880	12014769
DB03894	12014622
DB03918	12014491
DB03944	12014924
DB03955	85197624
DB03991	12015237
DB03995	12013128
DB04014	12015322
DB04066	56310611
DB04084	12014430
DB04106	12014105
DB04115	12014544
DB04115	125299285
DB04149	12013590
DB04168	12012855
DB04216	12014036
DB04224	87550986
DB04242	12015603
DB04258	12014623
DB04265	136349998
DB04270	22395452
DB04273	12012684
DB04282	12014430
DB04291	24714785
DB04293	12014135
DB04297	12013760
DB04302	12015257
DB04306	12015977
DB04308	24714785
DB04322	12014547
DB04342	12012590
DB04377	12015709
DB04441	12015425
DB04466	12014425
DB04480	125299320
DB04483	12014430
DB04485	12015420
DB04513	12012578
DB04545	81044350
DB04566	22395589
DB04570	12012590
DB04599	12012619
DB04600	123055349
DB04655	24714896
DB04705	87550999
DB04725	12014886
DB04743	12012650
DB04751	12015292
DB04769	26746648
DB04786	12013770
DB04794	12013311
DB04812	12015308
DB04815	56310601
DB04821	12015366
DB04828	12015355
DB04832	12015275
DB04834	12014834
DB04835	12015618
DB04841	24714724
DB04845	49684213
DB04849	26746631
DB04856	12014112
DB04856	12014679
DB04857	12014982
DB04859	12014755
DB04860	12014342
DB04861	12013797
DB04862	12015083
DB04863	123055293
DB04864	12013888
DB04865	12013050
DB04866	12015056
DB04868	24714967
DB04869	12015401
DB04870	12015140
DB04872	57304375
DB04873	12015016
DB04874	12015039
DB04876	12015446
DB04878	12013776
DB04879	12015266
DB04880	12012687
DB04881	56310580
DB04883	12015030
DB04884	12014334
DB04885	12014360
DB04886	12014841
DB04888	12015562
DB04889	12015676
DB04890	12014774
DB04892	12014843
DB04896	12013109
DB04898	12015148
DB04903	12014496
DB04905	12013631
DB04908	12014794
DB04910	12015527
DB04911	12014991
DB04915	57304385
DB04920	12015001
DB04924	12014383
DB04933	12015331
DB04938	12015426
DB04942	12013938
DB04944	136349962
DB04946	12014542
DB04948	12013767
DB04951	12012763
DB04953	12014733
DB04953	12015005
DB04954	12015133
DB04957	12014787
DB04960	12015141
DB04970	12014529
DB04982	12015007
DB04983	57304389
DB04996	12014708
DB05003	12014446
DB05013	12015710
DB05016	57304410
DB05022	12013383
DB05038	125299296
DB05039	12015479
DB05057	12013867
DB05076	12013040
DB05083	49684233
DB05087	12014974
DB05095	12015453
DB05102	12015250
DB05105	12014826
DB05109	12014180
DB05129	12013596
DB05143	12015463
DB05154	92309397
DB05186	92309401
DB05197	12012583
DB05229	12013775
DB05251	12014897
DB05260	12014158
DB05265	12014215
DB05266	12013668
DB05271	12013860
DB05271	12014593
DB05286	12014880
DB05288	12014801
DB05289	12014074
DB05289	12015300
DB05294	12015522
DB05295	12014438
DB05297	12015330
DB05298	12014718
DB05302	12013717
DB05314	12012574
DB05316	24714802
DB05318	12015395
DB05327	12014810
DB05339	12014645
DB05343	12015175
DB05347	12013356
DB05360	12014585
DB05379	12013227
DB05379	24714855
DB05383	12014685
DB05399	12015190
DB05409	12015441
DB05414	12015287
DB05416	22395218
DB05424	12015296
DB05428	12014919
DB05428	26746626
DB05434	12015488
DB05436	12013391
DB05458	57304379
DB05461	22395195
DB05465	50086911
DB05478	26683783
DB05482	12012598
DB05494	49684259
DB05508	12013717
DB05511	12014966
DB05521	49684228
DB05659	12014697
DB05665	92309409
DB05708	26683766
DB05719	56310613
DB05796	12015081
DB05804	57304392
DB05817	24714755
DB05838	12015228
DB05864	12015668
DB05871	24714752
DB05885	24714958
DB06090	26683811
DB06090	99431661
DB06144	12014521
DB06151	12013391
DB06155	12014928
DB06196	12014551
DB06201	12014051
DB06203	50086926
DB06204	24714750
DB06207	12014894
DB06209	12015290
DB06210	22395450
DB06212	12015154
DB06213	12015422
DB06216	12013479
DB06218	12015335
DB06228	22395270
DB06237	125299302
DB06262	12013905
DB06267	12015432
DB06274	12014860
DB06287	12014940
DB06288	12013930
DB06290	87551010
DB06292	57304407
DB06335	57304394
DB06402	12015744
DB06414	12015430
DB06554	12015406
DB06581	12015101
DB06581	92309410
DB06589	22395868
DB06590	56310609
DB06594	12014766
DB06605	56310620
DB06614	12015288
DB06616	26746630
DB06623	12013749
DB06637	12014686
DB06684	12015002
DB06689	87550986
DB06695	12015557
DB06696	12012746
DB06696	26746625
DB06697	12013078
DB06699	22395202
DB06700	12015689
DB06701	24714766
DB06702	12015484
DB06704	12013292
DB06712	12013601
DB06716	22395212
DB06717	12015115
DB06726	12013006
DB06730	12014148
DB06744	12013672
DB06748	12013896
DB06766	136349963
DB06777	12012589
DB06777	99431529
DB06800	49684206
DB06809	26683765
DB06817	26683830
DB06832	12015750
DB06836	26746635
DB06973	125299300
DB06987	12014149
DB07053	22395905
DB07080	87550969
DB07109	12015519
DB07118	87550968
DB07129	12013440
DB07130	50086923
DB07138	136349964
DB07159	125299322
DB07164	12015758
DB07191	12015430
DB07232	99431617
DB07298	50086922
DB07352	56310575
DB07358	87550987
DB07364	12015724
DB07365	22395716
DB07425	123055319
DB07447	57304367
DB07450	12014520
DB07465	57304394
DB07475	12015194
DB07477	12013864
DB07519	99431628
DB07615	12013287
DB07675	22395204
DB07701	12014379
DB07715	12015057
DB07720	12014827
DB07767	125299308
DB07768	12012605
DB07795	12015309
DB07810	81044353
DB07863	22395870
DB07884	12015276
DB07885	24714749
DB07886	12013447
DB07919	12015642
DB08012	12014395
DB08017	12013782
DB08059	26746624
DB08094	12015951
DB08142	99431599
DB08144	99431667
DB08162	12014414
DB08183	49684221
DB08188	12014818
DB08313	22395397
DB08387	57304420
DB08399	12014609
DB08416	123055340
DB08435	12015428
DB08439	12015177
DB08463	136350043
DB08468	12013687
DB08472	12014047
DB08473	26683823
DB08477	22395270
DB08486	12014588
DB08502	12015158
DB08521	49684193
DB08544	12014047
DB08561	99431641
DB08567	12014562
DB08577	49684200
DB08592	49684233
DB08597	99431644
DB08607	12013560
DB08633	12014468
DB08639	57304387
DB08679	24714752
DB08700	125299329
DB08734	12015381
DB08741	12015142
DB08760	22395910
DB08764	12015522
DB08772	12014107
DB08806	12013537
DB08807	12013744
DB08810	12013294
DB08815	56310617
DB08816	49684205
DB08819	22395198
DB08820	125299328
DB08826	12014095
DB08828	99431642
DB08836	12014034
DB08842	12013796
DB08846	12013687
DB08860	12014762
DB08864	49684233
DB08865	125299329
DB08866	12012771
DB08868	12014880
DB08871	49684210
DB08873	92309409
DB08874	22395184
DB08877	99431630
DB08878	81044355
DB08881	123055406
DB08882	56310616
DB08889	92309411
DB08890	85197653
DB08896	123055398
DB08897	49684225
DB08899	125299336
DB08901	136350016
DB08903	81044374
DB08905	12013811
DB08906	24714804
DB08907	125299338
DB08910	50086901
DB08912	125299349
DB08915	136349978
DB08916	57304398
DB08918	12013109
DB08927	12013735
DB08930	123055423
DB08934	136350055
DB08939	12015542
DB08943	12015485
DB08947	12015543
DB08950	12013380
DB08951	22395903
DB08952	12015482
DB08955	22395231
DB08974	12015477
DB08976	22395233
DB08981	12015365
DB08986	12015558
DB08992	12013323
DB08998	12013333
DB09010	12013343
DB09017	12013024
DB09022	22395601
